nb,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,ClassNum
61,521.64,520.92,520.42,520.09,519.92,519.69,519.29,518.32,517.64,516.67,516.32,515.77,515.75,515.77,515.62,515.22,515.4,516.1,516.82,517.29,517.89,518.49,518.92,519.74,520.29,520.94,521.54,522.09,522.89,524.01,525.06,526.26,527.26,528.11,530.13,532.98,535.3,536.48,536.28,535.43,534.18,533.03,531.98,531.06,529.71,527.58,525.61,524.66,524.19,524.06,524.01,523.64,523.29,523.14,523.36,523.69,523.71,523.31,522.91,522.79,522.61,523.14,523.69,524.11,682.28,683.11,683.46,683.91,684.78,685.85,686.2,685.58,684.38,683.33,682.61,682.21,681.46,679.68,677.76,675.96,674.34,673.29,672.52,671.29,670.14,670.32,671.14,672.27,673.19,673.79,675.09,676.69,678.89,681.18,683.43,684.61,686,688.48,691.6,696.12,701.24,706.41,711.4,716.37,720.84,725.59,729.89,733.16,735.73,737.2,737.88,737.73,736.6,735.28,733.93,730.86,726.99,722.47,717.65,712.2,706.33,699.89,693.5,686.33,679.06,673.22,669.12,666.1,30.35,27.95,25.87,23.93,22,21.4,21.25,21.18,21.68,22.25,23.3,25.43,27.62,30.47,33.59,37.29,40.51,43.51,45.78,47.95,49.48,50.5,50.88,50.25,49.18,46.8,43.78,40.81,36.84,32.39,28.1,23.48,19.46,16.46,14.06,12.31,11.09,10.64,11.74,13.71,16.73,20.31,24.25,28.75,33.22,38.41,44.31,49.65,55.3,60.94,65.36,69.76,73.3,75.88,77.25,77.45,76.1,74.1,71.03,66.96,62.86,58.59,53.95,49.03,1
62,534.5,534.38,533.95,533.38,532.93,532.48,531.71,531.28,532.01,533.83,537.43,542.3,547.24,551.86,556.36,561.98,568.97,574.34,578.88,583.06,587.3,591.95,595.69,601.64,605.46,608.48,609.9,612.78,614.05,614.47,615.5,616.82,619.27,620.32,623.04,625.14,627.64,632.11,640.02,648.97,655.58,659.93,663.65,667.27,670.54,673.89,675.44,674.74,672.59,669.67,666.77,664.05,661.18,658.13,655.53,654.16,654.56,655.11,655.38,655.51,655.31,656.71,658.98,662.45,695.04,700.34,705.98,712.03,718.27,725.39,731.26,735.83,739.08,741.67,743.77,745.9,746.79,746.52,744.9,741.25,737.98,734.46,731.51,728.16,724.09,721.92,719.57,718.62,717.72,715.18,711.53,708.96,704.96,700.14,694.65,687.33,678.84,669.05,660.13,652.39,645.87,636.63,626.34,617.15,610.48,605.16,602.71,600.69,597.86,594.94,591.12,589.37,589.62,590.47,591.45,592.2,592.7,592.77,592.72,592.52,592.52,594.09,595.62,596.07,596.04,593.99,592.02,590.87,30.22,26.22,21.43,16.88,12.24,8.47,5.1,2.5,0.5,0,0,0,0,0.65,3.45,8.04,13.19,19.73,28.3,38.06,47.95,58.14,67.81,78.15,86.84,94.81,101.85,108.14,112.17,113.01,113.14,113.81,114.74,114.41,113.06,109.44,104.17,96.91,88.89,82.24,75.98,69.21,62.14,54.47,46.23,38.34,31.64,26.07,22.1,19.43,17.86,16.61,15.98,15.86,16.96,19.63,23.9,28.7,34.59,41.48,49.25,57.27,65.66,73.68,1
63,581.41,580.38,579.53,579.26,579.28,578.64,577.86,576.91,576.06,575.31,574.64,573.74,572.74,571.67,570.94,571.24,571.54,571.89,572.17,572.89,574.04,576.09,578.69,581.01,582.48,583.38,584.3,585.85,587.58,589.52,590.87,591.02,591.12,591.3,592.77,594.54,595.82,596.54,596.97,597.07,597.47,597.97,597.49,596.57,595.02,593.55,593.25,593.85,594.27,594.27,593.85,593.94,594.47,595.39,595.74,595.67,595.22,594.27,594.39,594.67,595.52,596.02,596.52,596.79,683.21,678.84,675.64,672.99,670.92,669.72,668.32,666.7,665.2,664.55,664.4,665.32,665.7,665.47,664.7,664.07,664.72,665.75,667.1,668.15,668.95,668.8,669.14,670.69,673.84,676.81,679.48,681.96,684.85,688.78,693.37,698.44,702.81,706.16,707.88,709.18,710.78,712.45,712.75,711.05,707.96,704.93,703.59,702.39,700.99,698.97,696.29,694.87,696.54,701.01,705.96,710.13,712.78,716.3,721.64,728.56,735.01,739.78,741.2,740.5,740.28,740.28,740.5,739.7,60.57,54.17,47.43,40.44,34.34,28.2,22.38,18.13,14.04,10.66,7.89,5.54,5.19,5.72,6.99,9.69,12.96,16.56,21.08,26.15,31.17,36.71,41.28,44.76,47.78,50.45,52.57,54.32,54.8,54.45,54.4,54.15,54.1,54.1,53.5,52.75,52.87,53.45,54.97,56.72,57.94,58.79,59.74,61.37,63.59,65.94,66.98,66.98,65.71,63.74,61.41,58.02,53.62,48.45,42.36,36.24,30.32,24.98,21.03,18.66,17.21,17.61,19.71,23.05,1
64,584.25,584.35,584.9,586.03,586.95,588.18,588.7,588.87,588.13,587.4,586.78,586.55,586.58,586.68,586.33,585.45,584.83,584.83,585.4,585.88,585.88,585.43,584.43,583.55,582.98,582.03,581.16,579.86,578.46,576.44,574.79,572.97,571.42,569.84,568.97,568.72,568.54,568.22,567.82,568.37,568.79,569.44,570.04,570.47,570.37,570.12,570.07,570.32,571.14,571.67,572.07,571.99,572.22,572.47,572.82,573.44,573.96,574.46,574.71,575.19,576.16,577.59,578.41,579.03,744.7,742.5,739.78,736.33,733.51,730.49,727.11,723.27,719.12,714.08,708.13,702.31,695.52,689.45,683.71,678.66,674.39,670.34,667.15,664.95,663.98,662.98,663.08,663.33,663.55,663.9,664.77,665.87,666.7,667.77,667.97,667.9,666.97,665.6,664.45,663.05,661.38,659.7,657.98,656.06,655.98,656.13,657.31,658.43,658.41,658.56,659.11,660.28,661.23,662.1,661.33,660.65,660.35,660.68,663.05,665.65,667.87,669.89,672.14,674.59,677.84,681.48,684.86,688.8,54.17,60.92,66.81,72.23,76.75,80.7,84.22,85.74,85.67,84.94,82.12,78.05,72.75,66.51,60.24,54.2,47.95,41.58,36.84,31.89,27.75,25.2,23.28,22,20.78,20.46,21.28,23.25,24.05,25.72,27.85,29.75,32.09,34.42,36.79,38.94,39.84,40.14,40.04,39.56,38.21,35.62,32.12,28.37,24.15,19.83,16.53,13.56,11.54,9.79,9.17,10.31,12.74,16.41,20.7,25.55,30.87,36.11,42.16,48.03,53.37,57.87,61.74,64.84,1
65,567.87,569.14,570.89,573.14,575.24,576.74,577.64,578.56,579.36,580.31,580.71,581.26,581.16,580.73,580.43,580.88,581.88,582.96,583.81,584,584.38,584.48,584.78,584.48,583.88,582.56,581.08,579.61,578.56,577.74,577.14,576.14,575.31,575.04,574.74,574.81,574.84,575.14,575.16,576.11,576.84,578.11,579.48,580.88,582.68,583.96,584.83,585.53,586.8,587.4,588.38,588.58,588.35,587.43,586,584.95,584.2,583.28,581.53,579.88,577.99,576.76,575.64,575.31,684.13,684.13,684.73,685.78,686.9,687.6,689.48,690.65,691.92,693.92,696.87,700.44,703.06,704.86,706.26,706.51,706.28,706.01,705.01,703.64,701.24,698.34,696.19,695.57,695.64,696.64,697.34,698.47,700.81,703.86,707.73,711.88,715.18,716.92,718.1,719.55,721.32,723.17,724.94,726.19,727.09,727.16,727.26,728.24,729.44,730.34,730.41,730.31,729.66,729.54,729.06,730.11,731.11,731.78,731.58,732.16,734.78,738.15,741.67,744.05,745.55,745.77,746.3,747.17,34.72,42.61,50.78,58.07,63.81,68.31,71.9,74.63,75.6,75.08,72.85,69.73,65.24,60.64,56.32,51.22,46.4,41.76,37.69,35.24,33.89,32.54,32.32,32.02,32.22,33.57,35.74,38.74,41.73,44.06,46.25,48.58,50.5,52.15,53.42,54.9,55.35,54.82,54.95,55.07,55.5,56.07,57.32,58.12,58.82,59.54,60.54,61.51,62.11,61.76,61.22,60.44,58.87,57.87,56.64,54.32,51.2,48.4,46.03,44.41,43.06,42.33,42.51,43.58,1
66,572.44,572.24,572.34,572.37,572.44,571.94,571.67,571.14,570.52,570.14,570.02,570.49,570.99,571.79,572.59,573.77,574.86,576.16,577.74,578.66,579.28,579.43,579.41,578.99,578.61,577.94,577.79,577.64,577.46,577.76,577.74,578.06,578.61,578.86,579.11,579.56,579.63,579.66,579.76,580.21,580.96,580.98,580.41,580.08,579.86,579.46,579.06,579.41,579.83,579.98,580.36,580.76,581.51,582.13,582.18,582.18,582.18,581.73,581.03,580.58,580.03,579.71,579.26,579.41,695.02,693.75,692.7,692.87,694.55,695.99,696.82,698.47,699.59,700.91,702.41,703.44,703.91,703.29,702.11,700.99,700.71,700.32,700.36,700.64,700.49,700.99,700.79,701.66,702.61,704.26,704.96,705.68,705.24,704.56,703.81,703.79,703.96,704.16,704.71,704.66,705.01,705.73,707.16,708.51,709.71,710.28,711.78,711.98,711.53,710.63,710.01,708.83,708.76,709.18,709.88,710.21,710.13,712.08,714.98,718.62,722.37,725.87,728.69,731.51,734.68,737.5,739.95,740.5,24.3,23.85,23.85,24.18,25.77,28.12,31.32,34.97,38.74,41.96,45.53,48.4,51.05,53.45,55.27,56.27,56.07,55.27,54,52.9,50.13,47.3,44.21,42.03,40.26,39.09,39.09,39.54,40.26,41.46,44.23,46.9,49.8,52.4,54.37,55.97,57.32,58.57,59.64,60.17,60.39,60.44,59.67,58.17,56.15,53.97,51.75,49.43,46.63,44.13,41.38,38.86,36.64,34.39,32.69,31.89,31.42,31.69,33.67,35.64,38.56,42.23,46.83,51.97,1
67,578.91,578.99,578.66,578.29,577.81,577.39,577.04,576.56,576.09,575.69,575.21,574.56,574.34,574.07,574.29,574.79,575.56,576.69,577.54,578.01,578.29,578.49,578.71,578.49,577.86,576.86,576.09,575.39,574.84,574.54,574.44,574.09,573.69,573.54,573.24,573.59,573.74,573.59,573.54,573.72,573.67,573.82,573.89,574.29,575.36,576.19,576.79,577.51,577.94,578.39,579.31,579.88,580.83,581.88,582.56,583.41,584.38,584.98,585.38,585.35,584.55,584.23,583.28,582.76,706.36,705.51,705.29,705.63,705.51,705.29,705.59,705.73,706.66,707.56,708.26,708.11,707.16,705.73,704.46,703.14,701.84,701.31,700.37,700.42,700.74,702.36,704.71,707.11,709.96,712.18,713.48,713.7,714.18,713.83,713.95,712.98,711.4,709.38,707.13,705.83,705.46,705.66,706.08,706.36,705.86,706.03,707.26,710.03,713.05,715.73,718,719.65,721.42,723.79,726.14,728.26,729.26,729.29,728.79,727.94,726.14,724.82,723.19,720.62,718.62,716.02,713.9,712.18,45.56,48.08,50.33,52.5,54.4,55.27,56.07,55.87,55.27,54.15,52.45,50.38,48.13,46.25,44.13,42.88,41.71,41.46,41.53,42.38,43.43,44.71,46.1,47.5,49.6,51.45,53.22,54.85,56.34,57.09,57.64,57.32,56.54,55.22,53.45,51.35,48.85,45.86,41.98,38.44,34.84,31.97,29.72,27.92,27.2,26.97,27.7,29.35,32.62,36.81,41.73,47.53,53.4,59.92,65.81,71.46,76.35,79.77,81.8,81.75,80.67,77.67,73.2,67.18,1
68,593.52,594.94,596.12,597.29,598.29,598.72,598.32,597.67,596.79,596.52,596.37,595.72,594.97,593.85,592.95,592.57,592.7,593.37,594.2,594.07,593.85,593.02,592.17,591.25,590.05,588.73,587.1,585.78,585,585.05,584.95,585.28,585.45,585.45,585.48,585.55,585.63,585.2,584.23,582.73,581.28,580.01,579.11,578.81,578.81,578.91,579.23,579.68,579.63,580.18,580.83,581.33,581.58,581.78,582.13,582.43,582.06,581.46,581.18,580.41,579.96,579.58,579.41,579.93,741.23,743.57,745.1,746.62,747.99,748.92,749.67,749.14,747.49,745.02,743.2,742.4,740.93,738.03,733.73,729.04,723.87,719.57,716.42,714.18,711.43,708.51,706.01,704.81,704.91,706.13,707.73,709.48,710.95,712.4,714.1,715.33,716.67,718.12,719.3,719.62,719.77,719.77,719.62,719.27,718.45,717.52,715.98,713.8,711.85,710.01,708.68,707.31,706.36,704.99,703.11,702.21,702.16,702.49,702.89,703.96,705.98,707.38,707.86,707.76,708.31,707.83,707.01,706.38,32.32,27.4,23.45,20.41,19.11,19.71,22.03,26.17,31.14,36.71,42.88,49.43,55.92,62.34,68.91,75.08,80.65,85.94,89.96,92.81,94.76,95.31,94.98,92.46,88.36,83.17,77.62,71.03,64.09,57.34,50.55,44.28,38.44,33.74,29.87,26.52,23.6,21.43,20.13,20.28,21.58,23.5,26.52,30.67,35.52,41.13,47.3,53.25,59.07,64.06,68.16,71.61,74.08,74.65,73.35,70.16,65.69,60.67,55.12,48.3,42.33,36.14,30,25.48,1
69,578.49,577.99,577.59,577.36,577.06,576.69,576.49,576.41,576.44,576.76,577.19,577.56,577.86,578.16,578.54,579.04,579.48,579.58,579.56,579.43,579.16,578.86,578.76,579.23,579.71,580.03,579.68,578.91,578.01,577.36,577.44,577.71,577.89,577.19,576.21,574.81,574.46,574.96,575.96,577.04,577.54,578.06,578.34,578.54,578.74,579.01,578.81,578.09,577.14,576.01,574.89,573.19,571.74,570.57,569.59,569.24,569.32,569.67,570.64,571.87,573.17,574.69,576.61,578.66,709.61,709.91,710.56,710.83,711.4,711.2,710.71,710.01,709.61,709.26,708.93,708.83,708.01,707.13,706.28,705.54,705.64,706.13,706.38,707.06,707.58,708.36,709.41,711.06,712.08,713.48,714.2,714.6,713.9,712.28,710.41,709.26,708.91,707.93,706.56,704.21,702.11,700.59,700.82,702.51,704.09,704.31,704.01,704.64,706.26,708.56,710.16,710.23,709.53,707.93,707.41,706.16,703.74,699.74,695.82,692.35,688.98,687.13,684.58,681.43,677.34,675.36,676.06,678.76,45.21,44.36,43.26,42.58,42.03,42.03,42.03,41.86,41.88,42.21,43.36,44.43,45.31,46.65,47.5,48.78,49.7,50.85,51.7,51.75,51.27,51.08,50.98,50.68,50.73,49.83,48.85,48.18,47.83,48.08,48.28,48.03,48.03,47.58,47.73,48.13,48.8,49,49.35,49.85,49.83,50.05,49.5,49.08,47.35,46.05,44.08,42.43,39.84,36.54,34.42,31.62,30.5,30.2,30.22,30.94,33.44,36.74,41.16,46.98,52.62,59.39,65.06,69.51,1
70,721.92,725.59,729.54,733.43,737.78,743.13,748,752.12,755.29,757.74,759.51,760.91,761.91,762.48,761.53,760.81,760.56,759.06,757.66,755.06,752.22,749.77,746.6,742.9,738.98,734.96,730.41,726.84,722.72,719.7,716.88,714.55,713.53,713.63,715.2,717.77,720.87,725.29,730.26,734.48,736.41,735.16,733.86,732.61,732.21,731.29,731.16,729.96,728.81,727.96,729.56,733.66,737.08,739.3,739.9,739.8,738.23,736.96,735.83,734.38,732.19,729.39,725.97,722.94,698.27,702.56,710.96,720.1,729.06,735.51,741.35,748.24,754.46,761.11,766.73,768.87,768.52,767,765.68,765.23,764.2,762.63,759.66,756.54,751.82,747.02,743.42,739.85,736.08,731.83,728.14,726.94,727.76,729.21,731.81,736.26,738.68,741.58,744.72,747.44,751.07,752.56,752.59,751.34,749.54,748.79,748.82,748.19,748.57,751.07,755.06,760.78,767.95,774.49,780.16,781.74,782.64,783.63,783.91,782.86,779.61,774.19,767.75,761.08,756.19,752.21,748.97,744.85,112.61,96.11,81.45,67.43,55.12,43.36,34.72,28.45,24.68,24.4,28.27,35.67,45.88,59.32,75.75,94.28,113.31,132.52,151.18,169.88,186.64,201.18,213.47,223.13,229.9,233.55,233.77,230.72,225.3,215.96,203.58,188.74,172.21,154.17,134.79,115.39,96.66,78.95,62.59,48.58,38.74,32.99,29.67,28.7,30.15,34.49,42.41,53.25,65.61,78.8,91.49,103.15,115.54,128.55,142.11,154.95,166.44,175.9,184.05,190.94,195.71,198.46,199.01,196.86,1
71,740.03,741.68,741.78,741.63,742.25,742.35,741.53,741.08,740.15,738.9,737.45,735.91,734.28,732.16,729.36,726.94,724.84,722.22,719.45,717.35,715.95,715.65,716.53,718,720.17,722.77,725.94,729.96,734.41,737.83,740.2,741.6,742.5,743.8,744.85,745.47,745.27,744.3,742.87,742.15,741.4,740.38,739.03,736.48,733.68,730.64,727.76,724.74,722.1,719.67,718,716.8,715.25,714.28,713.95,714,714.78,716.53,718.55,720.6,722.54,724.74,727.74,729.86,792.28,794.57,796.57,796.35,794.57,792.25,791.73,791.88,793.12,794.65,795.1,793.9,792.23,790.63,788.53,785.71,782.34,778.94,774.89,769.52,763.43,758.01,752.41,748.22,747.24,748.94,752.19,756.89,761.28,766.33,771.22,775.14,779.06,783.03,787.38,791.8,794.82,795.6,795.4,794.75,794.5,795.1,796.32,796.47,793.6,788.18,782.01,776.22,771.22,767.05,763.25,759.01,754.61,750.77,747.74,747.24,748.89,752.61,757.61,763.08,767.35,771.67,775.42,779.21,73.18,71.9,73.98,79.12,86.99,97.48,110.02,123.98,138.09,152.08,165.41,177.03,187.47,196.63,203.65,208.6,211.24,211.14,209.05,204.48,197.66,188.82,178.65,167.41,155.85,143.98,131.7,120.13,108.89,99.55,91.79,86.44,82.64,80.52,79.95,81.6,86.54,93.53,102.77,112.64,123.63,135.32,146.68,157.82,167.71,176.58,183.52,188.84,192.79,194.29,193.61,190.34,185.39,178.03,169.51,159.17,147.43,135.04,122.56,111.29,101.73,93.76,87.69,84.37,1
72,695.6,696.72,698.07,698.24,698.02,697.67,697.32,697.02,696.67,695.57,694.22,693.47,692.6,691.82,691.47,691.25,691.67,692.1,692.67,693.75,694.75,695.57,696.52,697.42,698.49,699.69,700.22,700.54,699.59,698.47,697.24,696.67,696.15,696.05,695.07,693.7,692.32,690.9,690.18,689.33,688.33,686.98,685.68,684.46,684.06,683.18,681.71,679.79,677.74,676.64,676.46,677.09,678.46,680.54,682.56,685.46,688.6,692.17,695.82,698.79,701.44,703.19,704.21,704.14,762.9,765.18,767.2,769.27,770.9,771.92,772.74,773.82,775.22,776.94,778.16,777.69,775.92,773.74,771.67,769.8,767.8,766.2,765,764.23,764.13,765.45,768.45,772.05,774.59,776.22,777.91,779.34,781.49,782.39,781.59,778.81,775.59,773.49,774.27,775.44,775.97,775.39,774.02,773.24,773.17,773.74,772.92,770.3,765.38,761.28,758.03,754.89,750.72,745.97,742.2,740.38,740.9,742.87,745.87,748.74,751.57,754.96,759.86,765.15,769.92,773.84,776.29,777.62,74.2,71.98,71.43,73.38,77.87,83.67,90.81,98.5,106.67,114.94,123.28,130.77,137.79,143.24,147.58,150.7,151.83,151.38,149.33,145.78,141.06,135.22,128.07,120.43,112.37,104.4,97.58,91.26,86.22,82.97,81.15,81.77,83.79,87.36,92.53,98.78,105.6,112.61,120.31,127.3,133.77,139.46,144.98,149.25,151.18,151.3,149.4,146.21,141.49,134.87,126.95,117.73,107.02,96.48,86.57,77.42,69.83,64.04,59.74,58.44,60.19,64.59,71.78,80.6,1
73,695.6,695,694.67,694.2,693.35,692.4,693.1,693.87,695.82,697.64,699.44,701.19,703.09,705.66,708.71,711.18,712.53,713.43,713.55,714,714.43,714.45,713.95,712.4,710.46,708.28,706.34,704.26,701.46,698.19,695.5,692.92,690.43,687.85,685.11,682.93,680.98,679.64,678.69,678.36,677.86,678.01,679.71,682.03,684.08,686.08,688.18,690.38,693,695.42,698.59,701.79,703.41,704.44,705.66,706.21,706.58,706.58,706.11,705.54,703.81,701.84,699.79,698.24,763.93,761.43,759.98,759.21,760.01,761.86,764.4,767.33,770.45,772.22,773.37,774.29,775.07,775.84,776.49,777.07,776.74,776.17,775.22,775.62,776.34,777.96,778.89,779.54,779.21,778.04,776.49,775.62,774.12,771.62,767.9,762.73,757.88,752.51,746.65,741.38,736.68,732.46,730.01,728.59,727.41,726.24,725.09,725.72,728.86,733.46,738.1,742.05,745.07,748.94,754.36,761.68,769.35,774.94,777.94,779.71,781.29,782.98,784.43,784.21,782.91,780.36,777.37,774.99,177.33,173.33,167.04,158.47,148.21,136.34,123.73,110.57,98,86.64,76.25,68.23,62.06,58.74,57.54,59.07,63.39,69.36,77.27,86.22,96.76,107.79,119.21,130.67,141.71,152.1,161.09,169.76,177.25,183.2,186.74,187.17,185.82,181.87,175.75,167.84,158.22,147.08,134.34,121.98,109.94,98.73,88.14,78.3,69.78,62.51,56.07,50.8,47.68,46.1,46.43,48.65,52.22,57.74,65.19,73.9,84.07,95.16,106.8,117.81,128.5,138.66,148.11,156.37,1
74,683.63,680.04,677.19,674.32,672.19,670.67,670.15,670.15,671.24,673.04,675.49,678.66,681.56,684.91,688.25,691.17,693.7,695.75,697.39,698.92,700.02,700.29,700.27,700.14,699.22,697.57,695.75,694.1,692.75,692.05,691.45,691.32,690.92,689.95,689.38,689.78,690.48,691.3,691.8,691.57,691.1,689.55,688.3,687.35,686.68,685.9,685.13,684.13,682.93,681.83,680.41,679.41,678.56,678.21,677.79,677.64,678.46,679.81,681.71,684.36,687.23,689.9,692.2,694.02,775.34,772.79,769.95,768.05,766.43,764.68,763.3,761.98,761.33,761.68,763.43,765.55,767.28,768.77,770.47,773.29,776.52,778.76,780.24,781.39,781.66,782.59,783.66,783.56,784.51,785.11,784.83,784.53,784.53,784.51,785.73,787.13,787.66,787.41,784.56,780.24,776.17,773.39,771.55,769.92,766.9,761.68,756.86,752.64,750.72,751.32,752.94,753.31,753.16,751.64,750.89,751.82,753.21,756.06,758.18,759.41,759.56,760.41,761.61,764.18,767.28,770.2,771.52,771.07,152.63,156.1,158.45,159.39,158.87,156.87,153.6,149.53,144.28,138.24,132.27,126.43,120.96,115.84,111.27,107.25,103.45,100.7,98.5,97.23,96.03,95.53,95.48,95.01,95.01,95.41,96.31,97.18,98.4,99.48,100.2,101.13,101.75,103.35,105.25,107.27,109.59,111.97,114.79,118.28,122.13,126.3,130.97,135.29,138.91,142.24,144.93,146.31,146.63,145.31,142.66,138.64,133.79,128.07,121.96,115.59,109.82,104.7,100.15,95.96,92.21,89.24,86.57,85.12,1
75,703.46,702.74,701.44,699.99,698.52,696.37,693.75,691.3,689.38,687.15,684.98,682.41,679.74,677.41,675.49,674.42,673.99,674.54,675.24,676.46,677.69,679.61,682.31,685.16,687.73,690.05,691.85,693.07,694.42,695.4,696.02,696.42,696.42,696.27,695.27,694.25,692.85,691.08,689.18,687.43,685.63,684.33,683.18,682.11,681.83,681.26,681.08,681.86,682.78,683.93,685.31,686.13,687.45,688.7,690.05,691.3,692.35,692.8,692.7,692.07,691.35,690.8,689.55,688.45,791.08,790.68,790.35,790.15,789.05,786.36,782.71,779.14,775.57,772.99,771.8,771,769.02,765.85,762.65,761.16,761.01,761.23,761.56,761.18,760.73,760.18,761.08,763.4,766.65,769.42,771.45,773.04,774.67,777.17,779.76,782.06,782.88,784.01,784.76,785.58,786.31,786.31,785.13,783.31,780.91,778.71,777.76,775.37,772.77,770.05,767.7,766.33,766.83,767.62,768.77,769.52,769.72,770.62,772.07,773.19,774.49,774.42,774.02,773.74,773.54,773.07,772.47,771.9,100.08,100.25,101.98,103.87,106.45,110.24,114.26,118.73,123.68,127.48,130.15,131.87,132.52,132.82,132.15,130.75,129.82,127.85,125.25,122.88,120.01,117.54,115.06,112.09,109.67,106.8,104.32,102.67,101.08,100.18,100.9,102.15,104.1,106.55,108.94,112.37,115.46,118.48,121.43,124.08,126.7,127.95,128.22,128.22,127.88,126.98,125.63,122.93,119.91,116.89,113.01,110.17,107.67,105.32,104.07,103.07,102.6,102.82,103.95,105.5,108.24,110.59,114.21,117.73,1
76,598.29,597.14,596.62,596.09,595.67,595.59,595.57,595.14,594.97,594.84,594.99,595.82,596.44,596.14,595.24,594.14,593.4,593.8,594.64,594.97,595.59,596.04,595.77,595.24,595.04,594.79,594.02,592.5,590.15,588.43,586.65,585.78,586.03,587.18,587.98,588.98,590.25,591.47,592.27,592.15,592.12,591,589.67,588.38,587.65,587.08,586.75,586.48,586.53,587.2,588.33,590.55,592.72,594.87,596.57,597.67,598.02,597.77,597.52,598.17,598.54,598.34,597.99,597.27,579.48,583.85,585.68,587.38,589.75,590.57,589.35,587.9,586.68,585.65,584.48,581.66,578.81,576.49,574.56,573.94,573.76,572.32,570.47,569.24,567.3,565.67,566.77,570.02,574.56,579.73,584.95,591.1,596.99,602.86,607.61,610.3,609.7,606.71,603.01,599.26,595.09,589.72,585.23,579.98,576.94,575.46,575.29,575.61,575.34,574.01,572.67,573.56,576.79,581.73,584.35,586.7,589.25,593.02,597.72,602.81,608.8,614.02,616.8,615.95,616.17,617,618.3,618.89,0.4,1.67,2.57,3.15,3.45,3.5,4.62,6.87,10.17,13.89,16.98,18.91,20.83,23.43,26.15,29.05,30.3,30.27,29.02,27.17,25.33,24.3,23.75,23,22.5,22.65,23.78,25.8,28.35,31.29,34.79,37.29,39.44,41.23,43.11,43.81,42.41,39.14,35.32,30.87,25.75,21.08,16.66,12.44,8.04,4.25,2.15,1.17,0.4,0.03,0,0,0,0,0,0.35,1.3,3.42,6.49,9.19,11.96,15.48,19.08,23.33,1
77,592.57,591.35,590.57,589.45,587.9,586.28,584.55,583.03,582.11,581.51,581.53,581.71,581.68,581.91,582.56,583.41,584.2,585.03,585.6,585.8,586.25,587.08,587.63,588.58,588.18,587.65,586.35,585.15,584.5,584.7,584.28,583.85,583.41,582.61,582.31,582.18,582.68,583.11,583.88,584.3,584.7,585.08,585.73,586.18,587.25,588.3,589.5,590.47,590.95,591.02,591.1,590.82,590.67,590.65,590.52,590.47,590.22,590.22,590.05,589.77,589.12,588.2,586.63,585.13,625.54,622.84,619.37,615.07,611.55,606.53,601.36,595.87,591.32,587.7,583.93,580.83,577.63,575.64,573.61,573.81,573.31,572.69,572.81,573.29,573.71,575.79,579.38,583.18,586.68,588.55,591.1,594.47,597.91,601.31,604.96,608.18,610.53,610.78,612.2,614.37,615.72,617.22,616.97,615.45,612.78,610.53,609.08,609.28,607.78,604.86,603.18,602.54,602.81,603.58,606.28,608.68,609.53,609.2,608.55,609.63,611.65,611.88,611.4,610.3,608.55,606.78,605.91,605.78,36.01,39.49,41.88,43.78,45.21,45.41,44.88,43.56,41.06,37.66,33.74,30.35,26.9,23.83,20.85,17.81,14.24,11.26,9.04,7.24,5.79,4.4,3.17,1.82,0.57,0.05,0.92,1.8,3,4.42,7.04,10.29,13.91,17.58,21.73,26,28.97,32.02,34.09,35.19,35.12,34.57,33.17,30.87,27.4,23.3,19.46,15.53,12.26,9.74,7.19,4.6,3.15,2.75,3.8,6.47,10.54,14.86,19.81,25,30.17,34.99,38.74,41.51,1
